cluster	gene	avg_logFC	pct.1	pct.2	p_val	p_val_adj	description
6	MALAT1	1.09024591873568	1	1	0	0	metastasis associated lung adenocarcinoma transcript 1 [Source:HGNC Symbol;Acc:HGNC:29665]
6	NEAT1	1.03438691998865	1	0.999	0	0	nuclear paraspeckle assembly transcript 1 [Source:HGNC Symbol;Acc:HGNC:30815]
6	RPL38	-0.419568089902563	1	1	0	0	ribosomal protein L38 [Source:HGNC Symbol;Acc:HGNC:10349]
6	MT-CO2	0.491452995389619	1	1	3.05970682930447e-251	7.22427379467078e-247	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]
6	MT2A	-1.72378190522346	0.899	0.954	9.23271699139789e-242	2.17993680883896e-237	metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]
6	MT-CO1	0.472232293506553	1	0.999	2.17095620444599e-237	5.12584469431742e-233	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]
6	CP	0.716553220127003	0.869	0.704	3.40591373129037e-219	8.04170291094969e-215	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]
6	MT-CYB	0.463165934752442	1	0.999	9.02812741708306e-216	2.13163116444748e-211	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]
6	RABEPK	-0.450211426548062	0.525	0.744	5.17816821554486e-211	1.2226172973723e-206	Rab9 effector protein with kelch motifs [Source:HGNC Symbol;Acc:HGNC:16896]
6	CLDN3	0.44996447326571	0.977	0.907	3.42269142030196e-207	8.08131671247496e-203	claudin 3 [Source:HGNC Symbol;Acc:HGNC:2045]
6	POLR2J3	0.415012747563495	0.878	0.721	1.57687395111059e-204	3.72315708596721e-200	RNA polymerase II subunit J3 [Source:HGNC Symbol;Acc:HGNC:33853]
6	PARP14	0.431107822892539	0.807	0.623	2.8562028268912e-204	6.74378049457281e-200	poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]
6	MT-CO3	0.483293459541769	1	0.999	8.69854008139772e-203	2.05381229861881e-198	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]
6	TACSTD2	0.450098469427176	0.916	0.762	1.55759458304654e-202	3.67763657003118e-198	tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530]
6	KCNQ1OT1	0.543212031811396	0.875	0.741	2.8075261394321e-199	6.62884996781313e-195	KCNQ1 opposite strand/antisense transcript 1 [Source:HGNC Symbol;Acc:HGNC:6295]
6	FABP5	-0.483001205829663	0.516	0.733	1.6241137635533e-195	3.8346950071257e-191	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]
6	MUC1	0.477928578937897	0.684	0.486	2.04305694097506e-190	4.8238617433362e-186	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]
6	MT-ATP6	0.461035354563998	1	0.999	5.14428761410584e-190	1.21461774856653e-185	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]
6	MT1X	-1.59329727434112	0.767	0.866	1.46424895614938e-183	3.45723821036429e-179	metallothionein 1X [Source:HGNC Symbol;Acc:HGNC:7405]
6	ID1	-0.784581712881046	0.998	0.998	1.47096885159489e-178	3.4731045555007e-174	inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]
6	MT-ND3	0.410171559666209	0.999	0.998	4.70926152654292e-175	1.11190373903205e-170	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]
6	XIST	0.458548757550745	0.846	0.707	1.96727355612667e-174	4.64492959337068e-170	X inactive specific transcript [Source:HGNC Symbol;Acc:HGNC:12810]
6	MT-ND4	0.421326822821178	1	0.999	7.40510811102879e-173	1.74842007609501e-168	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]
6	MT1F	-0.80080749245461	0.583	0.738	6.08904220250214e-172	1.43768375443278e-167	metallothionein 1F [Source:HGNC Symbol;Acc:HGNC:7398]
6	MUC16	0.420299666449792	0.832	0.663	5.85774080767369e-158	1.38307118209983e-153	mucin 16, cell surface associated [Source:HGNC Symbol;Acc:HGNC:15582]
6	SLC5A3	0.418843095177367	0.901	0.798	1.84743461535524e-155	4.36197787031527e-151	solute carrier family 5 member 3 [Source:HGNC Symbol;Acc:HGNC:11038]
6	ZFAS1	-0.600984109788907	1	1	5.28570881899005e-145	1.24800870925174e-140	ZNFX1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:33101]
6	OSER1	-0.531340768751553	0.816	0.895	3.83998067885844e-144	9.06657838085266e-140	oxidative stress responsive serine rich 1 [Source:HGNC Symbol;Acc:HGNC:16105]
6	SCD	0.545210302525254	0.906	0.829	2.64916677547473e-139	6.25494767357338e-135	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]
6	ID2	-0.68064842604969	0.776	0.877	3.87643532854125e-138	9.15265145421874e-134	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]
6	IER3	-0.65812921866717	0.625	0.78	1.13273295005343e-125	2.67449576837116e-121	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]
6	MT-ND6	0.456970694623077	0.882	0.819	3.62618167276024e-110	8.56177754755421e-106	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]
6	SQLE	0.411885683264838	0.721	0.615	5.83746117262528e-106	1.37828295746855e-101	squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]
6	EID2	-0.569983117807208	0.862	0.91	2.31230962629877e-102	5.45959425865403e-98	EP300 interacting inhibitor of differentiation 2 [Source:HGNC Symbol;Acc:HGNC:28292]
6	CDH6	0.488577722604201	0.674	0.565	8.56354695436019e-102	2.02193907139399e-97	cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765]
6	RSRC2	-0.501447361112449	0.947	0.963	2.23226225781197e-100	5.27059441691985e-96	arginine and serine rich coiled-coil 2 [Source:HGNC Symbol;Acc:HGNC:30559]
6	GADD45B	-1.07106872054692	0.527	0.607	2.84296658551749e-96	6.71252840506534e-92	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]
6	SNHG15	-0.605654479706342	0.823	0.884	2.93895955757359e-91	6.93917741138701e-87	small nucleolar RNA host gene 15 [Source:HGNC Symbol;Acc:HGNC:27797]
6	HIST1H4C	-0.706090562025081	0.78	0.849	1.21994796179673e-89	2.88041913259825e-85	histone cluster 1 H4 family member c [Source:HGNC Symbol;Acc:HGNC:4787]
6	NFKBIA	-0.729853461672983	0.9	0.93	1.17848008192738e-84	2.78250932143874e-80	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]
6	CXCL1	-0.734076370602697	0.411	0.549	2.09173034892178e-83	4.93878452683921e-79	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]
6	IGFL2-AS1	0.413667543468668	0.692	0.586	2.81003713797038e-80	6.63477868646186e-76	IGFL2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:52559]
6	CITED2	-0.452788666388482	0.692	0.769	1.64264934150232e-72	3.87845936022114e-68	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]
6	SNHG17	-0.48292220511678	0.725	0.799	3.08909876483845e-72	7.29367109366006e-68	small nucleolar RNA host gene 17 [Source:HGNC Symbol;Acc:HGNC:48600]
6	HES1	-0.672044101906355	0.531	0.622	1.188535722916e-71	2.80625169537698e-67	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]
6	DDIT3	-0.435239650187004	0.75	0.82	1.03012508812933e-61	2.43222834558216e-57	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]
6	ADM	-0.582989991087844	0.285	0.406	1.74475884391166e-59	4.11955010635981e-55	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]
6	KLF10	-0.587470156063199	0.523	0.604	8.6177804709981e-57	2.03474414700736e-52	Kruppel like factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]
6	JUNB	-0.653984578929334	0.881	0.895	1.61033101970117e-53	3.80215257061644e-49	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]
6	SNHG1	-0.444370288874508	0.834	0.868	2.32475680269217e-50	5.48898328683648e-46	small nucleolar RNA host gene 1 [Source:HGNC Symbol;Acc:HGNC:32688]
6	SLC30A1	-0.409229281083513	0.527	0.604	1.48621756786452e-48	3.50910829948492e-44	solute carrier family 30 member 1 [Source:HGNC Symbol;Acc:HGNC:11012]
6	TNF	-0.452870997960997	0.155	0.263	3.76188526139034e-48	8.88218729066873e-44	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]
6	SNAPC1	-0.46005514694698	0.601	0.655	2.6029980536705e-39	6.14593870452141e-35	small nuclear RNA activating complex polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:11134]
