p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	avg_log2FC
1.87311602582476e-151	3.40294042703478	0.979	0.524	4.42261424857484e-147	cluster_20	PLCG2	4.90940527852365
3.82257532196491e-91	2.03198258375323	0.934	0.59	9.02548259269135e-87	cluster_20	AL627171.2	2.93153119675353
6.42909532784412e-120	1.75691130314522	0.523	0.1	1.51797369785727e-115	cluster_20	RMRP	2.53468722432937
1.20176106928912e-53	1.15525750840405	0.552	0.22	2.83747806069855e-49	cluster_20	AL355075.4	1.66668427832426
2.90519851300884e-68	1.08174312942485	1	0.882	6.85946420906518e-64	cluster_20	MTRNR2L12	1.56062544833694
1.71185329784891e-38	0.981713328281336	0.606	0.349	4.04185682155105e-34	cluster_20	MTRNR2L8	1.41631295028608
6.76631164772241e-22	0.777354915869084	0.502	0.272	1.59759384314374e-17	cluster_20	AC108134.2	1.12148608213498
1.47094341261287e-27	0.686379480209394	0.846	0.596	3.47304449152025e-23	cluster_20	MTRNR2L1	0.990236272266037
1.50367982587454e-37	0.666821380941237	0.992	0.965	3.55033843687237e-33	cluster_20	SPEN	0.962019899442652
2.61743676905217e-35	0.636343995525191	1	0.961	6.18002995540909e-31	cluster_20	RSRC2	0.918050326643661
2.71006253758609e-39	0.603285147279135	1	0.988	6.39872865749451e-35	cluster_20	C19orf33	0.870356490221576
4.58795204191787e-29	0.593775071281885	0.954	0.742	1.08326135661723e-24	cluster_20	TWNK	0.856636350741867
6.37041876845518e-25	0.580149218798523	0.925	0.724	1.50411957541995e-20	cluster_20	SURF6	0.836978400936235
2.26889351164431e-78	0.563159203906857	1	1	5.35708447034339e-74	cluster_20	RPL35	0.812466990707398
3.00160197724303e-58	0.544043618344783	1	1	7.08708242846851e-54	cluster_20	RPL38	0.784889030213306
2.6273575909502e-32	0.535152163266118	1	0.951	6.20345400799252e-28	cluster_20	TRA2B	0.772061372065029
1.0778229906847e-06	0.52088522133746	0.432	0.373	0.0254484786330564	cluster_20	ZNF316	0.751478525695904
2.93297768602089e-66	0.493432366376521	1	1	6.92505361446392e-62	cluster_20	RPS19	0.711872427985512
4.42976670817294e-65	0.489064268783374	1	1	1.04591221746671e-60	cluster_20	RPS15	0.705570595249761
3.09425065269189e-47	0.48786846471387	1	0.999	7.30583521607083e-43	cluster_20	SNRPD2	0.703845414648812
1.51525374253794e-13	0.486898395922746	0.635	0.45	3.57766561150634e-09	cluster_20	AC020916.1	0.702445901214537
2.65722394316696e-21	0.479386836269538	0.996	0.887	6.2739714522115e-17	cluster_20	TCOF1	0.691609011353511
3.48370549469404e-34	0.475135448293641	1	0.989	8.22537704352211e-30	cluster_20	ROMO1	0.685475555003791
1.04664233658441e-33	0.466793470571393	1	0.999	2.47122722090945e-29	cluster_20	POLR2L	0.673440625112697
8.49693187428487e-19	0.458508858706695	1	0.932	2.0062105848374e-14	cluster_20	CTSD	0.661488456659807
4.76271957540106e-22	0.455633714385052	0.68	0.418	1.12452571894794e-17	cluster_20	HIVEP2	0.657340500205132
3.51491196372206e-45	0.451370232272813	1	1	8.29905863754417e-41	cluster_20	ELOB	0.651189595704887
1.06244336673688e-26	0.449968464229265	0.996	0.934	2.50853503320245e-22	cluster_20	YTHDC1	0.649167271899984
9.31087777627922e-22	0.449628659238112	0.913	0.661	2.19839135175729e-17	cluster_20	PCNT	0.648677036924378
3.12324356354768e-23	0.44864895733103	0.938	0.703	7.37429037789242e-19	cluster_20	SMAD7	0.64726362584148
3.98605766311559e-30	0.443933735829586	0.996	0.927	9.41148074838222e-26	cluster_20	NFKBIA	0.640460999164655
1.21067616937907e-29	0.442967992416652	1	0.994	2.85852750352092e-25	cluster_20	EIF5B	0.639067725932044
9.53022609292369e-21	0.442905362803112	0.876	0.625	2.25018168280021e-16	cluster_20	NOP2	0.638977370499177
2.29963417231648e-27	0.439772871230034	0.992	0.89	5.42966624425645e-23	cluster_20	PPP1R10	0.634458140441071
8.38752520003834e-21	0.432289925819861	0.73	0.453	1.98037857498105e-16	cluster_20	ZNF335	0.623662532206571
8.36845994620101e-09	0.431692245569156	0.992	0.891	0.000197587707789752	cluster_20	SNHG25	0.622800261872842
3.93588377899677e-21	0.430886527473862	0.925	0.713	9.29301519058927e-17	cluster_20	LUZP1	0.621637856372407
5.71354954051953e-19	0.43025600266503	1	0.993	1.34902618201207e-14	cluster_20	DDX46	0.620728201357548
3.82964060240419e-27	0.429629600300555	0.871	0.611	9.04216442633652e-23	cluster_20	HES1	0.619824493772718
4.57426067460373e-16	0.429610268001764	0.834	0.597	1.08002868788069e-11	cluster_20	NOM1	0.619796603161124
6.79479950067845e-20	0.429360502323854	0.992	0.9	1.60432011010519e-15	cluster_20	ASH1L	0.619436267456218
4.72867009730307e-25	0.424212664958767	0.884	0.627	1.11648629667423e-20	cluster_20	PPP1R15A	0.612009508018304
4.29482627859665e-28	0.422086309467681	1	0.999	1.01405143263946e-23	cluster_20	ATP5ME	0.608941825496148
1.6663068452461e-18	0.421339558934721	1	0.909	3.93431709231058e-14	cluster_20	APOE	0.607864492205466
