p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	avg_log2FC
0	1.27717479793791	0.999	0.947	0	cluster_11	MT2A	1.84257374733338
0	1.2413363607082	0.99	0.851	0	cluster_11	MT1X	1.79086981166887
0	1.05570371585769	0.849	0.585	0	cluster_11	SLC30A1	1.52305851551594
4.18528606397025e-289	1.03601894845825	0.307	0.062	9.88187892564015e-285	cluster_11	MT1G	1.49465939920771
1.88775392775815e-90	0.866496108758495	0.734	0.571	4.45717579882976e-86	cluster_11	SERTAD1	1.25008963905547
6.85473667555815e-242	0.847300985556838	0.586	0.242	1.61847187646603e-237	cluster_11	SNAI1	1.22239693000318
2.84398798322113e-266	0.843290907994378	0.952	0.713	6.71494002718341e-262	cluster_11	MT1F	1.21661161099024
1.21506311053224e-307	0.827949999777191	0.979	0.884	2.86888551027767e-303	cluster_11	OSER1	1.19447935878257
5.16783445145899e-196	0.677130327098332	0.858	0.587	1.22017739233398e-191	cluster_11	GADD45B	0.976892564940285
5.81966058067842e-141	0.675636643268796	0.849	0.641	1.37408005970398e-136	cluster_11	SNAPC1	0.974737634686757
1.98040934941896e-194	0.654578386027988	0.887	0.705	4.6759445149131e-190	cluster_11	FABP5	0.94435699139568
1.38040583365516e-171	0.624644111796906	0.947	0.861	3.25927621384321e-167	cluster_11	SNHG1	0.901170962409888
1.3503407724608e-161	0.599296184212485	0.735	0.511	3.1882895978572e-157	cluster_11	SLC39A10	0.864601632987031
1.2985215149865e-169	0.596797565425621	0.394	0.141	3.06593914903463e-165	cluster_11	GADD45G	0.860996888054151
4.80584671516019e-159	0.585797085043704	0.956	0.875	1.13470846791647e-154	cluster_11	SNHG15	0.845126549559762
5.23898094125136e-277	0.572919498525821	1	0.998	1.23697579003886e-272	cluster_11	UBC	0.826548119351794
2.69334162088221e-165	0.57031103756608	0.856	0.618	6.35924890106498e-161	cluster_11	PPP1R15A	0.822784905660823
5.30870817168434e-191	0.567701030333189	0.875	0.658	1.25343908641639e-186	cluster_11	TRA2A	0.819019461169246
7.08411716837277e-130	0.562048773811621	0.838	0.736	1.67263090462449e-125	cluster_11	DNAJB1	0.810864978715748
1.29777506495677e-295	0.557200198442504	0.33	0.07	3.06417670586942e-291	cluster_11	RGS16	0.803869963075347
7.17216764021518e-190	0.534074205082489	0.548	0.243	1.69342050153121e-185	cluster_11	HBEGF	0.770506207139222
0	0.526443165921115	1	1	0	cluster_11	SOD1	0.759496944784278
7.19578517502795e-129	0.522631515653943	0.94	0.807	1.69899683767585e-124	cluster_11	DDIT3	0.753997895846226
1.68652444744017e-157	0.487370975681527	0.839	0.627	3.98205287285098e-153	cluster_11	NXF1	0.703127689688954
2.05744849775565e-121	0.482447777896203	1	1	4.85784164805086e-117	cluster_11	ZFAS1	0.696025016658752
5.29148024856439e-106	0.481541813774772	0.692	0.441	1.24937140148854e-101	cluster_11	ATF3	0.694717986713541
