p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	avg_log2FC
0	0.695591553443252	0.998	0.995	0	cluster_1	SLPI	1.00352648463683
1.91448894747589e-253	0.693421826468351	0.945	0.9	4.52029985388533e-249	cluster_1	NMU	1.00039623029006
0	0.664783755289997	0.996	0.985	0	cluster_1	CLU	0.95908022702042
0	0.63707640785262	0.956	0.866	0	cluster_1	TM4SF1	0.919106974276329
7.99137191144403e-215	0.570439567345442	0.802	0.673	1.88684282201105e-210	cluster_1	UPK1B	0.822970334936115
2.17766469215521e-297	0.487930723640091	0.878	0.663	5.14168410464767e-293	cluster_1	LGALS3BP	0.703935235292922
0	0.454083786420354	1	0.999	0	cluster_1	MRPS6	0.655104426816729
0	0.444504034542092	0.999	0.998	0	cluster_1	CD47	0.641283766289013
2.83394874932683e-203	0.429552648303587	0.871	0.676	6.69123639203558e-199	cluster_1	PAX8	0.619713475508305
1.77483719484766e-121	0.421181861368669	0.963	0.958	4.19056810075481e-117	cluster_1	ARHGAP29	0.607636982708961
7.52350087210838e-161	0.415356072117688	0.887	0.798	1.77637379091351e-156	cluster_1	SLC5A3	0.599232145447307
0	0.414765218030505	0.955	0.857	0	cluster_1	LRPAP1	0.59837972318584
9.79639806166887e-44	-0.40585132363776	0.7	0.726	2.31302754634064e-39	cluster_1	MT1F	-0.585519691950418
4.49176793337841e-187	-0.416205423833893	0.706	0.861	1.06055132674998e-182	cluster_1	BAZ1A	-0.600457500956247
5.00243541312948e-117	-0.417077954128286	0.536	0.648	1.181125025394e-112	cluster_1	NXF1	-0.601716296084992
1.7132358788645e-158	-0.419138450436521	0.232	0.463	4.04512123358698e-154	cluster_1	KLK15	-0.604688963890653
1.36272926911213e-39	-0.420411221904633	1	1	3.21754007730064e-35	cluster_1	ZFAS1	-0.606525184975884
3.46056821792907e-109	-0.421234410426921	0.574	0.744	8.17074761935232e-105	cluster_1	CEBPD	-0.607712794974705
2.18044812880236e-80	-0.421656979110833	0.863	0.891	5.14825607691526e-76	cluster_1	OSER1	-0.60832243271942
4.73525974049267e-122	-0.427576832062844	0.894	0.928	1.11804217732772e-117	cluster_1	BRD2	-0.616862975216079
1.32942665888169e-237	-0.438639554500347	0.634	0.84	3.13890928428555e-233	cluster_1	H2AFX	-0.632823110015395
2.50995728133592e-130	-0.440106933229951	0.363	0.539	5.92626013696224e-126	cluster_1	CSRNP1	-0.6349400900317
5.87599044026719e-94	-0.443327211103118	0.304	0.474	1.38738010285149e-89	cluster_1	ANKRD1	-0.639585968949602
1.38221624305771e-149	-0.450416594425113	0.317	0.514	3.26355077148356e-145	cluster_1	ARL4A	-0.649813787111206
1.22310594317795e-128	-0.452252277481903	0.338	0.513	2.88787544243746e-124	cluster_1	IER5	-0.652462117953881
8.23729133822607e-127	-0.458669956351041	0.76	0.875	1.94490685786856e-122	cluster_1	CCN1	-0.661720871432404
1.0803204430757e-113	-0.459187322738733	0.321	0.491	2.55074459814602e-109	cluster_1	DLX2	-0.662467273354251
7.09978039846301e-160	-0.466030530535887	0.943	0.976	1.6763291498811e-155	cluster_1	IER2	-0.672339935306977
1.41998120719812e-52	-0.468867878107257	0.995	0.998	3.35271762831548e-48	cluster_1	ID1	-0.676433362577471
2.10088932851819e-269	-0.470755164994699	0.999	1	4.96040979356429e-265	cluster_1	SNHG6	-0.679156142010718
5.74752434850321e-175	-0.476231785987001	0.773	0.898	1.35704797392509e-170	cluster_1	THUMPD3-AS1	-0.687057235957141
4.26106415926218e-90	-0.482640508046488	0.119	0.269	1.00607985864339e-85	cluster_1	TNF	-0.696303067490799
1.16221744913409e-163	-0.484598022980173	0.16	0.38	2.74411161915051e-159	cluster_1	TNFAIP3	-0.699127164578091
1.74980275160373e-165	-0.487808027575324	0.993	0.998	4.13145927681157e-161	cluster_1	SNHG8	-0.703758222288747
0	-0.490193807487622	0.557	0.852	0	cluster_1	HMGB2	-0.707200175136871
4.46724457692275e-196	-0.498672760689674	0.957	0.988	1.05476111705723e-191	cluster_1	ATF4	-0.719432718873401
1.21902054549071e-90	-0.505044493309018	0.757	0.82	2.87822940995811e-86	cluster_1	DDIT3	-0.728625185925199
9.38810574628687e-187	-0.508815881845782	0.454	0.663	2.21662564775579e-182	cluster_1	CENPL	-0.734066149464454
1.82768851238534e-91	-0.508993316056907	0.404	0.573	4.31535534659303e-87	cluster_1	CRYAB	-0.734322132920929
1.51700837411306e-142	-0.513066542961286	0.851	0.909	3.58180847211835e-138	cluster_1	CCNL1	-0.740198557176292
1.08923929001226e-147	-0.514150299279954	0.235	0.446	2.57180288764796e-143	cluster_1	IL6	-0.741762087042765
7.35693806670223e-304	-0.516852641125342	0.073	0.391	1.73704664692906e-299	cluster_1	XAGE2	-0.745660742221894
7.96535014860051e-153	-0.51983215805067	0.56	0.681	1.88069882358607e-148	cluster_1	TRA2A	-0.74995927651431
1.10295756973287e-50	-0.523804656527429	0.839	0.872	2.60419311789627e-46	cluster_1	ID2	-0.755690380366669
9.0173213861455e-248	-0.526385169210487	0.934	0.973	2.12907975248281e-243	cluster_1	BRIX1	-0.759413273217467
1.8899124242928e-72	-0.548698248344343	0.742	0.855	4.46227222499772e-68	cluster_1	HIST1H4C	-0.791604241830844
8.9404097954442e-146	-0.552497211595669	0.511	0.642	2.11092015680233e-141	cluster_1	PPP1R15A	-0.797084987274052
6.95382461646772e-154	-0.555124006783984	0.258	0.475	1.64186753019419e-149	cluster_1	ATF3	-0.800874651665665
3.99858662053541e-81	-0.555716272747252	0.491	0.604	9.44106286974615e-77	cluster_1	AL627171.2	-0.801729110833759
1.9652916523155e-216	-0.555959816765328	0.171	0.425	4.64025012028212e-212	cluster_1	ZNF34	-0.802080470580875
8.30381395728051e-133	-0.55758786486132	0.772	0.876	1.9606135134535e-128	cluster_1	SNHG1	-0.804429247495292
1.91268695345023e-136	-0.588674182696936	0.468	0.607	4.51604516579134e-132	cluster_1	GATA2	-0.849277324076234
2.49000971808844e-110	-0.598626486853447	0.741	0.799	5.87916194537861e-106	cluster_1	SNHG17	-0.86363546392825
1.98952062577267e-132	-0.599275200170573	0.857	0.911	4.69745714951185e-128	cluster_1	EID2	-0.864571359413827
3.73035630020055e-170	-0.601008742691168	0.823	0.892	8.80774426040352e-166	cluster_1	TAF1D	-0.867072332611459
4.45965710706871e-115	-0.6108238837934	0.607	0.717	1.05296963954999e-110	cluster_1	EFNA1	-0.881232588005275
4.04972180885772e-100	-0.627661330845621	0.243	0.433	9.56179816289396e-96	cluster_1	FLG	-0.905523889368744
